Código,ATIVO,CLASSIFICAÇÃO
1,Caixa,1.1.1.01.0001
3,Banco Itaú c/ Movimento Ag: 0466 c/c: 99721-1,1.1.1.02.0001
6,(-) Cheques a Compensar,1.1.1.02.0003
11,Aplicação Banco Itaú c/ Movimento Ag: 0466 c/c: 99721-1,1.1.1.03.0001
21,Duplicatas/Cheques a Receber,1.1.2.01.0001
22,Banco Itau c/Cobrança,1.1.2.01.0002
23,(-) Negociação Dividas,1.1.2.01.0003
51106,RADIO E TELEVISAO BANDEIRANTES SA,1.1.2.01.0004
31,(-) Banco c/Dpls Descontadas,1.1.2.03.0001
41,(-) Cobrança de Terceiros (Trustee),1.1.2.04.0001
51,(-) Prov.p/Creditos Liquidacao Duvidosa,1.1.2.05.0001
61,C/C Clientes Diversos,1.1.3.01.0001
71,Titulos a Receber,1.1.3.02.0001
81,Cheques em Cobrança,1.1.3.03.0001
91,Alienação ,1.1.3.04.0001
101,Adiantamento para Fornecedores,1.1.3.05.0001
111,Adiantamento de Salario,1.1.3.06.0001
112,Adiantamento de 13º Salario,1.1.3.06.0002
113,Adiantamento de Ferias,1.1.3.06.0003
114,Adiantamento para Viagem,1.1.3.06.0004
121,Emprestimos a Socios,1.1.3.07.0001
122,Emprestimos a Empregados,1.1.3.07.0002
123,Emprestimos a Coligadas,1.1.3.07.0003
131,Valores a Classificar,1.1.3.10.0001
141,ICMS a Recuperar,1.1.4.01.0001
142,IRRF a Recuperar,1.1.4.01.0002
143,IRPJ a Recuperar,1.1.4.01.0003
144,CSLL a Recuperar,1.1.4.01.0004
145,"CSLL a Recuperar (RF 1,00%)",1.1.4.01.0005
146,PIS a Recuperar,1.1.4.01.0006
147,"PIS a Recuperar (RF 0,65%)",1.1.4.01.0007
148,PIS Recuperacao Fiscal,1.1.4.01.0008
149,COFINS a Recuperar,1.1.4.01.0009
150,"COFINS a Recuperar (RF 3,00%)",1.1.4.01.0010
151,COFINS Recuperacao Fiscal,1.1.4.01.0011
155,INSS a Recuperar,1.1.4.01.0015
157,IRPJ Pago por Estimativa,1.1.4.01.0017
158,Impostos a Recuperar,1.1.4.01.0018
159,Simples Nacional Pago em Duplicidade,1.1.4.01.0019
161,Estoque de Mercadorias,1.1.6.01.0001
171,Premios de Seguros a Apropriar,1.1.7.01.0001
172,Assinaturas e Anuidades a Apropriar,1.1.7.01.0002
173,Juros a Apropriar,1.1.7.01.0003
174,IOF a Apropriar,1.1.7.01.0004
175,Garantia p/Equip.a Apropriar,1.1.7.01.0005
176,Serviços Suporte a Apropriar,1.1.7.01.0006
177,Licencas p/Utiliz.Software a Apropriar,1.1.7.01.0007
191,Participacoes Societarias,1.2.2.01.0001
192,Imoveis para Investimentos,1.2.2.01.0002
201,Terrenos,1.2.2.02.0001
202,Edificios,1.2.2.02.0002
203,Construcoes,1.2.2.02.0003
